Full Kernel Name,Elements (N),Runtime (ms),TFLOPS
softmax_naive_kernel,1024,975.500,0.000
softmax_block_shared_kernel,1024,3.086,0.000
softmax_warp_reduce_kernel,1024,2.165,0.000
softmax_warp_shared_kernel,1024,1.644,0.000
softmax_double_accum_kernel,1024,2.539,0.000
softmax_vectorized_kernel,1024,2.025,0.000
softmax_naive_kernel,2048,0.055,0.000
softmax_block_shared_kernel,2048,0.063,0.000
softmax_warp_reduce_kernel,2048,0.067,0.000
softmax_warp_shared_kernel,2048,0.054,0.000
softmax_double_accum_kernel,2048,0.037,0.000
softmax_vectorized_kernel,2048,0.036,0.000
softmax_naive_kernel,4096,0.037,0.000
softmax_block_shared_kernel,4096,0.036,0.000
softmax_warp_reduce_kernel,4096,0.037,0.000
softmax_warp_shared_kernel,4096,0.036,0.000
softmax_double_accum_kernel,4096,0.034,0.000
softmax_vectorized_kernel,4096,0.034,0.000
softmax_naive_kernel,8192,0.036,0.001
softmax_block_shared_kernel,8192,0.034,0.001
softmax_warp_reduce_kernel,8192,0.052,0.000
softmax_warp_shared_kernel,8192,0.034,0.001
softmax_double_accum_kernel,8192,0.034,0.001
softmax_vectorized_kernel,8192,0.034,0.001
softmax_naive_kernel,16384,0.036,0.001
softmax_block_shared_kernel,16384,0.034,0.001
softmax_warp_reduce_kernel,16384,0.034,0.001
softmax_warp_shared_kernel,16384,0.034,0.001
softmax_double_accum_kernel,16384,0.033,0.001
softmax_vectorized_kernel,16384,0.057,0.001
softmax_naive_kernel,32768,0.036,0.003
softmax_block_shared_kernel,32768,0.035,0.003
softmax_warp_reduce_kernel,32768,0.034,0.003
softmax_warp_shared_kernel,32768,0.034,0.003
softmax_double_accum_kernel,32768,0.059,0.002
softmax_vectorized_kernel,32768,0.035,0.003
softmax_naive_kernel,65536,0.036,0.006
softmax_block_shared_kernel,65536,0.034,0.006
softmax_warp_reduce_kernel,65536,0.035,0.006
softmax_warp_shared_kernel,65536,0.033,0.006
softmax_double_accum_kernel,65536,0.039,0.005
softmax_vectorized_kernel,65536,0.035,0.006
softmax_naive_kernel,131072,0.035,0.011
softmax_block_shared_kernel,131072,0.035,0.011
softmax_warp_reduce_kernel,131072,0.034,0.012
softmax_warp_shared_kernel,131072,0.035,0.011
softmax_double_accum_kernel,131072,0.059,0.007
softmax_vectorized_kernel,131072,0.035,0.011
softmax_naive_kernel,262144,0.042,0.019
softmax_block_shared_kernel,262144,0.036,0.022
softmax_warp_reduce_kernel,262144,0.038,0.021
softmax_warp_shared_kernel,262144,0.051,0.015
softmax_double_accum_kernel,262144,0.101,0.008
softmax_vectorized_kernel,262144,0.036,0.022
softmax_naive_kernel,524288,0.041,0.038
softmax_block_shared_kernel,524288,0.055,0.029
softmax_warp_reduce_kernel,524288,0.042,0.037
softmax_warp_shared_kernel,524288,0.050,0.032
softmax_double_accum_kernel,524288,0.104,0.015
softmax_vectorized_kernel,524288,0.044,0.036
softmax_naive_kernel,1048576,0.053,0.059
softmax_block_shared_kernel,1048576,0.072,0.044
softmax_warp_reduce_kernel,1048576,0.055,0.057
softmax_warp_shared_kernel,1048576,0.069,0.045
softmax_double_accum_kernel,1048576,0.185,0.017
softmax_vectorized_kernel,1048576,0.108,0.029
softmax_naive_kernel,2097152,0.118,0.053
softmax_block_shared_kernel,2097152,0.112,0.056
softmax_warp_reduce_kernel,2097152,0.087,0.072
softmax_warp_shared_kernel,2097152,0.080,0.079
softmax_double_accum_kernel,2097152,0.332,0.019
softmax_vectorized_kernel,2097152,0.086,0.073
softmax_naive_kernel,4194304,0.171,0.074
softmax_block_shared_kernel,4194304,0.152,0.083
softmax_warp_reduce_kernel,4194304,0.148,0.085
softmax_warp_shared_kernel,4194304,0.147,0.085
softmax_double_accum_kernel,4194304,0.605,0.021
softmax_vectorized_kernel,4194304,0.131,0.096
softmax_naive_kernel,8388608,0.240,0.105
softmax_block_shared_kernel,8388608,0.233,0.108
softmax_warp_reduce_kernel,8388608,0.244,0.103
softmax_warp_shared_kernel,8388608,0.233,0.108
softmax_double_accum_kernel,8388608,1.136,0.022
softmax_vectorized_kernel,8388608,0.237,0.106
softmax_naive_kernel,16777216,0.447,0.113
softmax_block_shared_kernel,16777216,0.447,0.113
softmax_warp_reduce_kernel,16777216,0.437,0.115
softmax_warp_shared_kernel,16777216,0.439,0.115
softmax_double_accum_kernel,16777216,2.283,0.022
softmax_vectorized_kernel,16777216,0.497,0.101
softmax_naive_kernel,33554432,0.867,0.116
softmax_block_shared_kernel,33554432,0.843,0.119
softmax_warp_reduce_kernel,33554432,0.873,0.115
softmax_warp_shared_kernel,33554432,0.847,0.119
softmax_double_accum_kernel,33554432,4.470,0.023
softmax_vectorized_kernel,33554432,0.893,0.113
softmax_naive_kernel,67108864,1.667,0.121
softmax_block_shared_kernel,67108864,1.660,0.121
softmax_warp_reduce_kernel,67108864,1.677,0.120
softmax_warp_shared_kernel,67108864,1.685,0.119
softmax_double_accum_kernel,67108864,8.923,0.023
softmax_vectorized_kernel,67108864,1.708,0.118
softmax_naive_kernel,134217728,3.358,0.120
softmax_block_shared_kernel,134217728,3.310,0.122
softmax_warp_reduce_kernel,134217728,3.306,0.122
softmax_warp_shared_kernel,134217728,3.309,0.122
softmax_double_accum_kernel,134217728,17.741,0.023
softmax_vectorized_kernel,134217728,3.357,0.120
softmax_naive_kernel,268435456,6.587,0.122
softmax_block_shared_kernel,268435456,6.582,0.122
softmax_warp_reduce_kernel,268435456,6.581,0.122
softmax_warp_shared_kernel,268435456,6.572,0.123
softmax_double_accum_kernel,268435456,35.553,0.023
softmax_vectorized_kernel,268435456,6.778,0.119
softmax_naive_kernel,536870912,12.985,0.124
softmax_block_shared_kernel,536870912,12.980,0.124
softmax_warp_reduce_kernel,536870912,12.979,0.124
softmax_warp_shared_kernel,536870912,13.023,0.124
softmax_double_accum_kernel,536870912,65.629,0.025
softmax_vectorized_kernel,536870912,13.005,0.124
softmax_naive_kernel,1073741824,25.844,0.125
softmax_block_shared_kernel,1073741824,26.003,0.124
softmax_warp_reduce_kernel,1073741824,25.863,0.125
softmax_warp_shared_kernel,1073741824,25.792,0.125
softmax_double_accum_kernel,1073741824,130.829,0.025
softmax_vectorized_kernel,1073741824,25.860,0.125

Total Benchmark Runtime (ms),1703.455
Sum of Kernel Runtimes (ms),1518.781
